日期,场景ID,场景名字,原二级场景ID,原二级场景名字,计划ID,计划名字,单元ID,单元名字,主体ID,主体类型,主体名称,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,曝光新客数,进店新客数,加购新客数,收藏新客数,新客支付金额,新客点击率,新客成交转化率,自然流量转化金额,自然流量曝光量
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71974294797,密码锁儿童保温杯男孩上学专用小学生指纹水杯女吸管杯幼儿园水壶,831332404204,商品,密码锁儿童保温杯男孩上学专用小学生指纹水杯女吸管杯幼儿园水壶,188,10,3.44,0.05319,0.34,18.30,0.00,0,0.00,0,0.00,0,138.96,0.00,138.96,1,1,0,0.1,40.40,3.44,2,2,0,0.2,0,0,,2,1.72,2,1.72,0,,0,1.72,1,369.00,0,0,1,0,0.00,1,19,9,9,1,0.1,1,0.10106,9,2,1,1,0,138.96,1,1,1,138.96,163,9,1,0,138.96,0.05587,0.1,199.50,1469
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71968974347,儿童保温杯女孩学生上学专用水杯2024新款女童幼儿园吸管杯子水壶,831259714505,商品,儿童保温杯女孩学生上学专用水杯2024新款女童幼儿园吸管杯子水壶,32,3,1.04,0.09375,0.35,32.50,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,4,3,2,0.66667,0,0,0.125,1,1,0,,0,0.00,0,0,,,26,3,0,0,0.00,0.09677,0,0.41,4
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71962005137,库洛米儿童保温杯女孩小学生上学专用2024新款女童幼儿园吸管水杯,834623752877,商品,库洛米儿童保温杯女孩小学生上学专用2024新款女童幼儿园吸管水杯,58,2,0.72,0.03448,0.36,12.41,0.00,0,0.00,0,0.00,0,0.00,39.90,39.90,1,0,1,0.5,55.42,0.72,0,0,0,0,1,0,,1,0.72,1,0.72,1,0.72,0.5,,1,129.00,0,1,0,0,0.00,0,2,2,1,0.5,0,0,0.03448,0,1,1,1,0,0.00,0,1,1,39.90,43,2,0,1,39.90,0.03636,0.5,12.54,530
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71960915021,三丽鸥库洛米儿童保温杯女小学生水杯子女孩上学专用水壶2024新款,735478522484,商品,三丽鸥库洛米儿童保温杯女食品级316小学生水杯女孩上学专用冬季,578,10,3.72,0.0173,0.37,6.44,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,1,0,,1,3.72,1,3.72,1,3.72,0.1,,0,0.00,1,0,0,0,0.00,0,23,8,7,0.875,0,0,0.03979,13,3,0,,0,0.00,0,0,,,484,8,0,1,0.00,0.01764,0,1.36,37
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71960821277,三丽鸥库洛米儿童保温杯女孩小学生水杯上学专用女童水壶2024新款,682712701386,商品,三丽鸥库洛米儿童保温杯女孩小学生水杯上学专用女童水壶2024新款,481,9,3.01,0.01871,0.33,6.26,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,1,199.00,0,0,0,0,0.00,1,16,8,7,0.875,0,0,0.03326,7,2,0,,0,0.00,0,0,,,387,8,0,0,0.00,0.01688,0,12.20,54
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71950965542,蛋仔派对保温杯儿童男孩上学专用小学生吸管水杯一年级幼儿园水壶,828724208433,商品,蛋仔派对保温杯儿童男孩上学专用小学生吸管水杯一年级幼儿园水壶,16,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,16,0,0,0,0.00,0,,0.00,0
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71950955540,儿童保温杯小学生水杯上学专用男孩宝宝水壶女童2024新款吸管杯子,802615414841,商品,儿童保温杯小学生水杯上学专用男孩宝宝水壶女童2024新款吸管杯子,54,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,42,0,0,0,0.00,0,,0.00,0
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71950951589,密码锁保温杯儿童男孩上学专用女幼儿园小学生指纹水杯子生日礼物,828385668327,商品,密码锁保温杯儿童男孩上学专用女幼儿园小学生指纹水杯子生日礼物,47,1,0.16,0.02128,0.16,3.40,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,0,0,0,,0,0,0,0,,0,,0,0.00,0,0,,,43,1,0,0,0.00,0.02273,0,0.00,0
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71950911642,奥特曼儿童保温杯上学专用男孩2024新款小学生吸管水杯幼儿园水壶,818797155929,商品,奥特曼儿童保温杯上学专用男孩2024新款小学生吸管水杯幼儿园水壶,328,6,2.22,0.01829,0.37,6.77,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,1,1,0,0.16667,1,0,,2,1.11,2,1.11,1,2.22,0.16667,2.22,0,0.00,1,0,0,0,0.00,0,12,5,3,0.6,0,0,0.03659,6,2,0,,0,0.00,0,0,,,221,5,0,1,0.00,0.01608,0,2.89,81
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71950905680,儿童保温杯女孩上学专用小学生水杯库洛米三丽鸥宝宝幼儿园大肚杯,830481777798,商品,儿童保温杯女孩上学专用小学生水杯库洛米三丽鸥宝宝幼儿园大肚杯,26,5,1.43,0.19231,0.29,55.00,0.00,0,0.00,0,0.00,0,59.90,0.00,59.90,1,1,0,0.2,41.89,1.43,2,2,0,0.4,0,0,,2,0.72,2,0.72,0,,0,0.72,1,169.00,0,0,0,0,0.00,0,40,5,4,0.8,0,0,1.53846,35,8,1,1,0,0.00,0,1,1,59.90,25,5,1,0,59.90,0.19231,0.2,112.47,1057
